"","BAI_GR","BIO_GR","Height.DBH.Ratio","Estem","Branching.Distance","Twig.Diameter","Twig.Wood.Density","Stem.Wood.Density","Leaf.Mass.Fraction","Leaf.Area","LMA","LCC","LNC","LPC","d15N","t.b2","Ks","Ktwig","Huber.Value","X.Lum","VD","X.Sapwood","d13C","Biomass5","pcent.max.Bio5","Tree.Height","Branch.Height","Root.Wood.Density","Twig.branching.angle","Hmax","Shade.Tolerance","Drought.Tolerance","WaterLogging.Tolerance","Porosity_Diffuse","Porosity_Ring","Soil.Fertility","Light","Temperature","pH","Slope"
"J17ULA14",0.125756776,0.0669029636438474,150.8333333,2820.362446,9.29411765,4.555,0.50183662,0.64641975,1.04684932,19.7672,32.85240196,45.5405,3.0034,18.88553522,1.31984535,0.04989801,97.28563476,248.3889285,0.06146232,0.1420769,6604.169964,0.13003301,-30.6911248,0.62878388,0.0304528,362,2.7,0.46974847,74.6035,35,3.14,2.92,2.46,0,1,0.459605330577464,0.671693003106338,0.722935099117077,0.106841887399853,0.730420337057904
"J18POG8",5.61321562,-Inf,131.6129032,1860.588439,11.875,6.15,0.37708437,0.4556525,2.71317835,18.85173913,85.65695703,50.7189,3.091,20.34737579,-0.68634947,0.01828112,115.8499557,2059.022354,0.01116896,0.18512921,10599.19821,0.90518073,-29.47694382,43.96566124,1,408,2.5,0.653566636,47.88966667,20,1.21,2.5,2,1,0,1.21523810208085,-0.183243973361156,-1.60690156208472,0.120723339253562,2.66148507880439
"J18POG9",3.301633944,-Inf,147.3913043,1799.929538,100,5.83,0.40431462,0.45084746,2.56061478,34.3775,88.06632245,48.6319,2.7824,18.22415819,-0.78660031,0.00410768,226.8060792,3968.652717,0.00699003,0.25452181,16667.52498,0.89116581,-28.90046486,22.20258503,0.54146557,339,2.6,0.647626048,0,20,1.21,2.5,2,1,0,1.16504271347276,-0.189646212876988,-1.64226180614199,0.393034736198659,2.48267444570317
"J18POT17",4.016364752,10.0060327678037,134.6,4667.362432,100,4.455,0.4612283,0.45758907,2.05563033,25.193,101.0598182,50.71528769,2.2456,16.40493393,-1.83950152,0.01748106,163.5820325,2937.020312,0.00235362,0.22083408,9018.586047,0.91441104,-29.24295647,20.08182377,0.70431065,673,5.2,0.4892905,0,25,1.21,1.77,1.77,1,0,1.51865167773514,-0.104534779564343,-0.930458689521851,0.266219281847278,1.94731851906271
"J19ACR15",2.176124282,0.519196610259291,137.3529412,3293.223873,13.57142857,5.66,0.46462249,0.60866571,2.05346317,47.17315789,53.01297571,52.1857,2.4052,13.04549634,-1.35697689,0.02221999,52.41690801,930.0724251,0.01145759,0.10472125,7158.067278,0.90368168,-30.60363434,10.88062142,0.44847838,467,4.4,0.608045224,50.579125,25,3.44,1.84,3.08,1,0,-0.0394571523998269,-0.023544503695467,0.0845332438412783,1.29334939145937,0.865792099645353
"J19BEPO17",0.02253143,0.235360070665944,116.5714286,2054.202526,7.71428571,3.905,0.5562276,0.54679325,1.06424062,11.55181818,71.61407098,51.9053,2.5938,19.12389275,-1.35942317,0.02290889,18.31571694,353.6568457,0.00300036,0.0744412,4032.666349,0.98339559,-28.07201088,0.11265714,0.10845973,408,3.5,0.49588424,55.44085,15,1.5,2.34,1,1,0,-0.451660667820961,0.0744125860014034,-0.363262436911815,1.33433629469891,1.1420660050753
"J19POB10",0.213381408,0.291931990138978,180,2181.674261,19.75,6.38,0.53899831,0.46413731,0.98167624,29.56222222,77.26327395,50.4218,2.1846,12.08234448,2.32922022,0.02147651,55.65740984,1027.78596,0.01012421,0.12176058,6828.094684,0.94048051,-31.4622509,1.06690704,0.08734367,324,2.6,0.529775066,67.262075,25,1.27,1.77,2.63,1,0,-0.0397531795834114,0.0913618465332705,0.0736905581473724,2.26305162360287,0.951344805158342
"J19POB8",1.467067158,0.259816606029292,141.2371134,3107.73724,12,8.625,0.50197046,0.43164056,0.94911693,34.64481481,83.52487145,50.1099,2.5025,13.5153161,-0.94308295,0.019848148,121.28921047,2710.2655268,0.01467004,0.169747904,6281.760988,0.95184439,-30.54715965,7.33533579,0.55926239,685,5.3,0.52964616,66.78926667,25,1.27,1.77,2.63,1,0,0.680507809272486,-0.38869688152064,0.553047989379978,1.73001135689975,2.20277686048245
"J19POT19",2.50867652,4.10752424607143,173.6111111,9483.340538,14,4.47,0.50449687,0.46796082,1.67541899,13.97976744,80.84773676,50.4391,3.3187,19.02353801,2.83358487,0.02475873,70.81395778,1250.369564,0.00629489,0.16246889,6995.427916,0.89926903,-28.72410286,12.5433826,0.4811919,625,6.8,0.542563104,67.070575,25,1.21,1.77,1.77,1,0,-0.602690357527823,-0.559145442441697,-0.701641383296765,2.58269842278363,0.77162161285656
"J19ULA18",1.4217426,0.464585752192001,148.75,4210.757378,10.6,4.92,0.56169747,0.70582938,1.02852204,24.12555556,40.45195659,42.8967,2.2347,27.25711768,-0.34688152,0.03229164,436.7781442,641.9494993,0.08617074,0.21883471,11962.87249,0.07485315,-30.22820938,7.108713,0.38535142,476,3.3,0.608493544,83.40466667,35,3.14,2.92,2.46,0,1,0.489588145757934,0.0988142279058766,0.65027745803124,1.02600752294712,0.826480995689336
