SampleID,BA.0.2006,BA.0.2007,BA.0.2008,BA.0.2009,BA.0.2010,BA.0.2011
J16ACP-c,2.81902707,3.93372051,5.35225397,7.99237734,8.37022683,8.88587087
J16ACR-d,1.25986543,1.54326621,1.67444059,2.11824268,2.60310335,2.94611827
J16ACR-e,4.44441814,4.66353345,5.01252423,5.18002948,5.6715943,5.71926445
J16ACSA-c,11.42898488,12.91189546,15.11496784,17.83871868,19.13938392,20.01019574
J16AMSP-b,2.79411248,2.86878126,2.93449985,3.04011646,3.24665183,3.48964499
J16AMSP-c,14.80572672,15.13358569,15.38259009,15.4677245,15.54489203,15.61404693
J16BEPO-d,0.45345356,0.48666546,0.60141022,0.77567888,0.99437797,1.15251098
J16COA-d,0.0096386,0.04257369,0.53002536,1.07363634,1.89728261,2.40146032
J16COA-e,2.46351974,2.67378477,3.36864007,3.92933857,4.18322756,4.2711786
J16FAG-c,3.05374548,3.53063473,3.83935668,4.60899092,4.69601009,5.05503837
J16FAG-d,10.37747752,10.51262608,10.75381754,11.25869013,11.43517381,11.63416661
J16FRA-b,12.67619402,13.34064263,13.90625713,14.40305524,14.68896943,14.95194017
J16OSV-b,18.08479841,20.2739878,21.61678088,22.2604135,22.98675718,23.40607066
J16POG-a,7.8319304,9.22414093,10.95549679,12.6030224,13.08201494,13.58051481
J16POT-a,5.86364097,6.95972235,7.71898914,8.47360616,8.86750018,9.18232446
J16PRS-b,4.99425464,5.17461347,5.31938415,5.40767625,5.51350983,5.67735528
J16QUR-c,2.92105717,3.77508303,4.7209618,5.59412075,6.09753957,6.57491282
J16TIA-a,19.58179461,19.86576866,20.2619559,20.77055245,21.85666485,22.12332912
J16TIA-b,0.30986275,1.10816147,2.42557794,4.14018067,5.44981404,6.08545248
J16ULA-c,1.90290312,1.95909227,2.05991285,2.26279278,2.46447144,2.54328321
J17ACR10,17.18633021,17.69927335,18.34770878,20.03304556,20.41372913,20.84342812
